Numeric,Analytic
8.99946e-05,8.99946e-05
0.000179979,0.000179979
0.000269954,0.000269954
0.000359918,0.000359918
0.000449873,0.000449873
0.000539817,0.000539817
0.000629752,0.000629752
0.000719677,0.000719677
0.000809591,0.000809591
0.000899496,0.000899496
0.00098939,0.00098939
0.00107927,0.00107927
0.00116915,0.00116915
0.00125901,0.00125901
0.00134887,0.00134887
0.00143871,0.00143871
0.00152855,0.00152855
0.00161837,0.00161837
0.00170819,0.00170819
0.00179799,0.00179799
0.00188779,0.00188779
0.00197757,0.00197757
0.00206735,0.00206735
0.00215711,0.00215711
0.00224687,0.00224687
0.00233661,0.00233661
0.00242635,0.00242635
0.00251607,0.00251607
0.00260579,0.00260579
0.00269549,0.00269549
0.00278519,0.00278519
0.00287487,0.00287487
0.00296455,0.00296455
0.00305421,0.00305421
0.00314387,0.00314387
0.00323351,0.00323351
0.00332315,0.00332315
0.00341277,0.00341277
0.00350239,0.00350239
0.00359199,0.00359199
0.00368159,0.00368159
0.00377117,0.00377117
0.00386075,0.00386075
0.00395031,0.00395031
0.00403987,0.00403987
0.00412942,0.00412942
0.00421895,0.00421895
0.00430848,0.00430848
0.00439799,0.00439799
0.0044875,0.0044875
0.00457699,0.00457699
0.00466648,0.00466648
0.00475596,0.00475596
0.00484542,0.00484542
0.00493488,0.00493488
0.00502432,0.00502432
0.00511376,0.00511376
0.00520319,0.00520319
0.0052926,0.0052926
0.00538201,0.00538201
0.00547141,0.00547141
0.00556079,0.00556079
0.00565017,0.00565017
0.00573954,0.00573954
0.00582889,0.00582889
0.00591824,0.00591824
0.00600758,0.00600758
0.0060969,0.0060969
0.00618622,0.00618622
0.00627553,0.00627553
0.00636482,0.00636482
0.00645411,0.00645411
0.00654339,0.00654339
0.00663265,0.00663265
0.00672191,0.00672191
0.00681116,0.00681116
0.0069004,0.0069004
0.00698962,0.00698962
0.00707884,0.00707884
0.00716805,0.00716805
0.00725725,0.00725725
0.00734644,0.00734644
0.00743561,0.00743561
0.00752478,0.00752478
0.00761394,0.00761394
0.00770309,0.00770309
0.00779223,0.00779223
0.00788135,0.00788135
0.00797047,0.00797047
0.00805958,0.00805958
0.00814868,0.00814868
0.00823777,0.00823777
0.00832685,0.00832685
0.00841592,0.00841592
0.00850498,0.00850498
0.00859403,0.00859403
0.00868306,0.00868306
0.00877209,0.00877209
0.00886111,0.00886111
0.00895012,0.00895012
0.00903912,0.00903912
0.00912811,0.00912811
0.00921709,0.00921709
0.00930606,0.00930606
0.00939502,0.00939502
0.00948397,0.00948397
0.00957291,0.00957291
0.00966184,0.00966184
0.00975076,0.00975076
0.00983967,0.00983967
0.00992857,0.00992857
0.0100175,0.0100175
0.0101063,0.0101063
0.0101952,0.0101952
0.0102841,0.0102841
0.0103729,0.0103729
0.0104618,0.0104618
0.0105506,0.0105506
0.0106394,0.0106394
0.0107282,0.0107282
0.010817,0.010817
0.0109058,0.0109058
0.0109946,0.0109946
0.0110834,0.0110834
0.0111721,0.0111721
0.0112609,0.0112609
0.0113496,0.0113496
0.0114384,0.0114384
0.0115271,0.0115271
0.0116158,0.0116158
0.0117045,0.0117045
0.0117932,0.0117932
0.0118819,0.0118819
0.0119706,0.0119706
0.0120592,0.0120592
0.0121479,0.0121479
0.0122365,0.0122365
0.0123252,0.0123252
0.0124138,0.0124138
0.0125024,0.0125024
0.012591,0.012591
0.0126796,0.0126796
0.0127682,0.0127682
0.0128568,0.0128568
0.0129453,0.0129453
0.0130339,0.0130339
0.0131224,0.0131224
0.013211,0.013211
0.0132995,0.0132995
0.013388,0.013388
0.0134765,0.0134765
0.013565,0.013565
0.0136535,0.0136535
0.013742,0.013742
0.0138304,0.0138304
0.0139189,0.0139189
0.0140073,0.0140073
0.0140958,0.0140958
0.0141842,0.0141842
0.0142726,0.0142726
0.014361,0.014361
0.0144494,0.0144494
0.0145378,0.0145378
0.0146262,0.0146262
0.0147145,0.0147145
0.0148029,0.0148029
0.0148913,0.0148913
0.0149796,0.0149796
0.0150679,0.0150679
0.0151562,0.0151562
0.0152446,0.0152446
0.0153329,0.0153329
0.0154211,0.0154211
0.0155094,0.0155094
0.0155977,0.0155977
0.0156859,0.0156859
0.0157742,0.0157742
0.0158624,0.0158624
0.0159507,0.0159507
0.0160389,0.0160389
0.0161271,0.0161271
0.0162153,0.0162153
0.0163035,0.0163035
0.0163917,0.0163917
0.0164798,0.0164798
0.016568,0.016568
0.0166562,0.0166562
0.0167443,0.0167443
0.0168324,0.0168324
0.0169206,0.0169206
0.0170087,0.0170087
0.0170968,0.0170968
0.0171849,0.0171849
0.0172729,0.0172729
0.017361,0.017361
0.0174491,0.0174491
0.0175371,0.0175371
0.0176252,0.0176252
0.0177132,0.0177132
0.0178012,0.0178012
0.0178893,0.0178893
0.0179773,0.0179773
0.0180653,0.0180653
0.0181532,0.0181532
0.0182412,0.0182412
0.0183292,0.0183292
0.0184171,0.0184171
0.0185051,0.0185051
0.018593,0.018593
0.0186809,0.0186809
0.0187689,0.0187689
0.0188568,0.0188568
0.0189447,0.0189447
0.0190326,0.0190326
0.0191204,0.0191204
0.0192083,0.0192083
0.0192962,0.0192962
0.019384,0.019384
0.0194718,0.0194718
0.0195597,0.0195597
0.0196475,0.0196475
0.0197353,0.0197353
0.0198231,0.0198231
0.0199109,0.0199109
0.0199987,0.0199987
0.0200864,0.0200864
0.0201742,0.0201742
0.0202619,0.0202619
0.0203497,0.0203497
0.0204374,0.0204374
0.0205251,0.0205251
0.0206129,0.0206129
0.0207006,0.0207006
0.0207882,0.0207882
0.0208759,0.0208759
0.0209636,0.0209636
0.0210513,0.0210513
0.0211389,0.0211389
0.0212266,0.0212266
0.0213142,0.0213142
0.0214018,0.0214018
0.0214894,0.0214894
0.021577,0.021577
0.0216646,0.0216646
0.0217522,0.0217522
0.0218398,0.0218398
0.0219273,0.0219273
0.0220149,0.0220149
0.0221024,0.0221024
0.02219,0.02219
0.0222775,0.0222775
0.022365,0.022365
0.0224525,0.0224525
0.02254,0.02254
0.0226275,0.0226275
0.022715,0.022715
0.0228025,0.0228025
0.0228899,0.0228899
0.0229774,0.0229774
0.0230648,0.0230648
0.0231522,0.0231522
0.0232396,0.0232396
0.0233271,0.0233271
0.0234145,0.0234145
0.0235018,0.0235018
0.0235892,0.0235892
0.0236766,0.0236766
0.023764,0.023764
0.0238513,0.0238513
0.0239386,0.0239386
0.024026,0.024026
0.0241133,0.0241133
0.0242006,0.0242006
0.0242879,0.0242879
0.0243752,0.0243752
0.0244625,0.0244625
0.0245498,0.0245498
0.024637,0.024637
0.0247243,0.0247243
0.0248115,0.0248115
0.0248987,0.0248987
0.024986,0.024986
0.0250732,0.0250732
0.0251604,0.0251604
0.0252476,0.0252476
0.0253348,0.0253348
0.0254219,0.0254219
0.0255091,0.0255091
0.0255963,0.0255963
0.0256834,0.0256834
0.0257706,0.0257706
0.0258577,0.0258577
0.0259448,0.0259448
0.0260319,0.0260319
0.026119,0.026119
0.0262061,0.0262061
0.0262932,0.0262932
0.0263802,0.0263802
0.0264673,0.0264673
0.0265543,0.0265543
0.0266414,0.0266414
0.0267284,0.0267284
0.0268154,0.0268154
0.0269024,0.0269024
0.0269894,0.0269894
0.0270764,0.0270764
0.0271634,0.0271634
0.0272504,0.0272504
0.0273373,0.0273373
0.0274243,0.0274243
0.0275112,0.0275112
0.0275982,0.0275982
0.0276851,0.0276851
0.027772,0.027772
0.0278589,0.0278589
0.0279458,0.0279458
0.0280327,0.0280327
0.0281196,0.0281196
0.0282064,0.0282064
0.0282933,0.0282933
0.0283801,0.0283801
0.028467,0.028467
0.0285538,0.0285538
0.0286406,0.0286406
0.0287274,0.0287274
0.0288142,0.0288142
0.028901,0.028901
0.0289878,0.0289878
0.0290745,0.0290745
0.0291613,0.0291613
0.0292481,0.0292481
0.0293348,0.0293348
0.0294215,0.0294215
0.0295082,0.0295082
0.029595,0.029595
0.0296817,0.0296817
0.0297683,0.0297683
0.029855,0.029855
0.0299417,0.0299417
0.0300284,0.0300284
0.030115,0.030115
0.0302016,0.0302016
0.0302883,0.0302883
0.0303749,0.0303749
0.0304615,0.0304615
0.0305481,0.0305481
0.0306347,0.0306347
0.0307213,0.0307213
0.0308079,0.0308079
0.0308944,0.0308944
0.030981,0.030981
0.0310675,0.0310675
0.0311541,0.0311541
0.0312406,0.0312406
0.0313271,0.0313271
0.0314136,0.0314136
0.0315001,0.0315001
0.0315866,0.0315866
0.0316731,0.0316731
0.0317596,0.0317596
0.031846,0.031846
0.0319325,0.0319325
0.0320189,0.0320189
0.0321053,0.0321053
0.0321918,0.0321918
0.0322782,0.0322782
0.0323646,0.0323646
0.032451,0.032451
0.0325373,0.0325373
0.0326237,0.0326237
0.0327101,0.0327101
0.0327964,0.0327964
0.0328828,0.0328828
0.0329691,0.0329691
0.0330554,0.0330554
0.0331417,0.0331417
0.033228,0.033228
0.0333143,0.0333143
0.0334006,0.0334006
0.0334869,0.0334869
0.0335732,0.0335732
