Numeric:   Analytic:  Relative Error:
0.000899415   0.000899415   8.33135e-08
0.00179783   0.00179783   8.33134e-08
0.00269525   0.00269525   8.33134e-08
0.00359167   0.00359167   8.33134e-08
0.0044871   0.0044871   8.33134e-08
0.00538153   0.00538153   8.33134e-08
0.00627496   0.00627496   8.33134e-08
0.00716741   0.00716741   8.33134e-08
0.00805886   0.00805886   8.33134e-08
0.00894932   0.00894932   8.33134e-08
0.00983879   0.00983879   8.33134e-08
0.0107273   0.0107273   8.33134e-08
0.0116148   0.0116148   8.33134e-08
0.0125013   0.0125013   8.33134e-08
0.0133868   0.0133868   8.33134e-08
0.0142713   0.0142713   8.33134e-08
0.0151549   0.0151549   8.33134e-08
0.0160375   0.0160375   8.33134e-08
0.016919   0.016919   8.33133e-08
0.0177997   0.0177997   8.33133e-08
0.0186793   0.0186793   8.33134e-08
0.0195579   0.0195579   8.33133e-08
0.0204356   0.0204356   8.33133e-08
0.0213123   0.0213123   8.33133e-08
0.022188   0.022188   8.33133e-08
0.0230628   0.0230628   8.33133e-08
0.0239365   0.0239365   8.33133e-08
0.0248093   0.0248093   8.33133e-08
0.0256811   0.0256811   8.33133e-08
0.026552   0.026552   8.33133e-08
0.0274219   0.0274219   8.33133e-08
0.0282908   0.0282908   8.33133e-08
0.0291587   0.0291587   8.33133e-08
0.0300257   0.0300257   8.33133e-08
0.0308917   0.0308917   8.33133e-08
0.0317568   0.0317568   8.33133e-08
0.0326208   0.0326208   8.33133e-08
0.033484   0.033484   8.33133e-08
0.0343461   0.0343461   8.33133e-08
0.0352073   0.0352073   8.33133e-08
0.0360675   0.0360675   8.33133e-08
0.0369268   0.0369268   8.33133e-08
0.0377851   0.0377851   8.33133e-08
0.0386425   0.0386425   8.33133e-08
0.0394989   0.0394989   8.33133e-08
0.0403543   0.0403543   8.33133e-08
0.0412088   0.0412088   8.33133e-08
0.0420623   0.0420623   8.33133e-08
0.0429149   0.0429149   8.33133e-08
0.0437665   0.0437665   8.33133e-08
0.0446172   0.0446172   8.33133e-08
0.0454669   0.045467   8.33133e-08
0.0463157   0.0463157   8.33133e-08
0.0471636   0.0471636   8.33133e-08
0.0480104   0.0480104   8.33133e-08
0.0488564   0.0488564   8.33133e-08
0.0497014   0.0497014   8.33133e-08
0.0505454   0.0505454   8.33133e-08
0.0513885   0.0513885   8.33133e-08
0.0522307   0.0522307   8.33133e-08
0.0530719   0.0530719   8.33133e-08
0.0539122   0.0539122   8.33133e-08
0.0547515   0.0547515   8.33133e-08
0.0555899   0.0555899   8.33133e-08
0.0564274   0.0564274   8.33133e-08
0.0572639   0.0572639   8.33133e-08
0.0580995   0.0580995   8.33133e-08
0.0589342   0.0589342   8.33133e-08
0.0597679   0.0597679   8.33133e-08
0.0606007   0.0606007   8.33132e-08
0.0614325   0.0614325   8.33132e-08
0.0622634   0.0622635   8.33132e-08
0.0630934   0.0630934   8.33132e-08
0.0639225   0.0639225   8.33132e-08
0.0647506   0.0647506   8.33132e-08
0.0655778   0.0655779   8.33132e-08
0.0664041   0.0664041   8.33132e-08
0.0672295   0.0672295   8.33132e-08
0.0680539   0.0680539   8.33132e-08
0.0688774   0.0688774   8.33132e-08
0.0697   0.0697   8.33132e-08
0.0705217   0.0705217   8.33132e-08
0.0713424   0.0713424   8.33132e-08
0.0721622   0.0721622   8.33132e-08
0.0729811   0.0729811   8.33132e-08
0.0737991   0.0737991   8.33132e-08
0.0746162   0.0746162   8.33132e-08
0.0754323   0.0754323   8.33132e-08
0.0762476   0.0762476   8.33132e-08
0.0770619   0.0770619   8.33132e-08
0.0778753   0.0778753   8.33132e-08
0.0786878   0.0786878   8.33132e-08
0.0794994   0.0794994   8.33132e-08
0.08031   0.08031   8.33132e-08
0.0811198   0.0811198   8.33132e-08
0.0819287   0.0819287   8.33132e-08
0.0827366   0.0827366   8.33132e-08
0.0835436   0.0835436   8.33132e-08
0.0843498   0.0843498   8.33132e-08
0.085155   0.085155   8.33132e-08
0.0859593   0.0859593   8.33132e-08
0.0867627   0.0867627   8.33132e-08
0.0875652   0.0875652   8.33132e-08
0.0883668   0.0883668   8.33132e-08
0.0891675   0.0891676   8.33132e-08
0.0899674   0.0899674   8.33132e-08
0.0907663   0.0907663   8.33132e-08
0.0915643   0.0915643   8.33132e-08
0.0923614   0.0923614   8.33132e-08
0.0931576   0.0931576   8.33132e-08
0.0939529   0.0939529   8.33132e-08
0.0947474   0.0947474   8.33132e-08
0.0955409   0.0955409   8.33132e-08
0.0963335   0.0963335   8.33132e-08
0.0971253   0.0971253   8.33132e-08
0.0979161   0.0979161   8.33132e-08
0.0987061   0.0987061   8.33132e-08
0.0994952   0.0994952   8.33131e-08
0.100283   0.100283   8.33131e-08
0.101071   0.101071   8.33131e-08
0.101857   0.101857   8.33131e-08
0.102643   0.102643   8.33131e-08
0.103427   0.103427   8.33131e-08
0.104211   0.104211   8.33131e-08
0.104994   0.104994   8.33131e-08
0.105776   0.105776   8.33131e-08
0.106557   0.106557   8.33131e-08
0.107337   0.107337   8.33131e-08
0.108117   0.108117   8.33131e-08
0.108895   0.108895   8.33131e-08
0.109673   0.109673   8.33131e-08
0.110449   0.110449   8.33131e-08
0.111225   0.111225   8.33131e-08
0.112   0.112   8.33131e-08
0.112774   0.112774   8.33131e-08
0.113547   0.113547   8.33131e-08
0.11432   0.11432   8.33131e-08
0.115091   0.115091   8.33131e-08
0.115862   0.115862   8.33131e-08
0.116632   0.116632   8.33131e-08
0.1174   0.1174   8.33131e-08
0.118168   0.118168   8.33131e-08
0.118936   0.118936   8.33131e-08
0.119702   0.119702   8.33131e-08
0.120467   0.120467   8.33131e-08
0.121232   0.121232   8.33131e-08
0.121995   0.121995   8.33131e-08
0.122758   0.122758   8.33131e-08
